ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
QmTksCuBh2HLMKSXUE7yyCHGE9dCevac9oEWnkef8Junn2,0xC8093dA592961367D3448e4635ED9e41C63d2d34,closed,12847365,"['Yes; Merge Grants and UNI DAO', 'No']","[9959.673901645, 208871.96187575196]",1002.99515126
QmTyWBn3PcBcFeuwKcjwAu5DZypVTK3aGuQ6EGQPFghgtX,0x77848888BeCe35979dbE948C7931a3E7Bb7e0d50,closed,12832548,"['YES, ABOLISH delegates ', 'Let delegates RUN UNI governance']","[3126.6984581613974, 213625.41427895636]",1000.0229026328793
QmWbGN8xaYzBpnJ4DKg245XXKQ68FSqpFxvDGKnNHQjKdj,0x77848888BeCe35979dbE948C7931a3E7Bb7e0d50,closed,12828173,"['YES,  allocate 500k UNI to CHF', ' Hire Ed Sheeran']","[3484.447640301609, 1834.7130328426492]",1000.0229026328793
Qmeza7LnzTLAGhHeA2psNtf1ua4kgm2Q1NHAMPeVzs5C2i,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,closed,12821267,"['YES', 'NO']","[23022013.858803887, 287.3891116870842]",7396.000684208097
QmUrYMZrS97ZA5FeSAgs6xk7qNong5pjwXkQyYi7M6WmkC,0x77848888BeCe35979dbE948C7931a3E7Bb7e0d50,closed,12800468,"['YES', 'NO']","[6373.039835133381, 4214022.723597472]",1000.0229026328793
QmX6y6Koqc82o7TSSnmw793RbyJMUfrRStr1wsTvCy4Ynj,0x29Aa0c482C2021E7fe0Fe6bf251bb8cA8d249664,closed,12799967,"['Yes, allocate funding to Geth', 'No, do not fund Geth']","[219516.70995726116, 5460.059532811726]",1000.0
QmPe3FKu44mtGKvKmBDxVGkV9256BCcTf7TZ4cfugYdqRn,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,12776512,"['Leave it unchanged', '50M', '60M', '70M', '80M', '90M']","[5105.512919827886, 9.198553861702608, 566.111, 27.2874909667668, 2821.83733785586, 357.286624262643]",0.0
QmbVVJ57NFq9ipgt3YY9S1NyN5s5ziswgHSPWfXNvuzwgx,0xd957a7Fc541fc4b3104ef891A975ae967D4c9057,closed,12763968,"['Yes, Approve the Grant', 'No, Make No Change']","[2513681.053711709, 1275.5088457712693]",1004.87315
QmQbcxLpGENeDauCAsh3BXy9H9fiiK46JEfnLqG3s8iMbN,0xd957a7Fc541fc4b3104ef891A975ae967D4c9057,closed,12685685,"['Yes', 'No']","[8007367.307504385, 3401.7949773035043]",1004.87315
QmZcfEhN6xx6mMyo6ins4pSMga7N3o14fW4VtFzYTRHuLj,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,12659711,"['Yes', 'No']","[11932647.275059422, 667.3762367532469]",0.0
QmXDNKm4feLGUXCdtHjHZYrNTMsysEhP34nRYFSM3HhKVT,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,12633888,"['Pass Temperature Check', 'Do Not Pass']","[199575.8714860205, 586.8220923333257]",0.0
QmaUPBYqkiKnwkaVNVrUDpD6fk5EXXTqJjn71qHNYW4YQn,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,closed,12545055,"['Allocate 1M UNI', 'Make no change']","[43037839.76411159, 12819410.87388797]",0.0
QmTj8EWNTTinpDa9aXZdVkhzPBXD2monu6ZFV1dfoojR2f,0x51841D9AFe10fE55571bDB8f4Af1060415003528,closed,12532748,"['Give Mr. Blec the $50 mil.', ""Don't (Wrong answer)""]","[1517.039173399452, 4240625.014516216]",1000.0
Qme9MASbuzrX2W6o7e4CCKqQiLGS5yuBLmX8wkeM5awcio,0xd7aC4581eF4E2BB6cC3734Da183B981bfd0Ee2A2,closed,12525005,"['Proceed to Consensus Check', 'Do Not Proceed']","[4870.476884370388, 15890.678421219596]",1022.7645557898217
QmNPvJSYqtpN8JeReGACfPJNx7yXZrsrcAKDsjHvbx3Pu3,0xB0623C91c65621df716aB8aFE5f66656B21A9108,closed,12519949,"['Yes, it should be lowered', 'No, it should remain the same']","[41167674.194310166, 1879.5588365468695]",145.4141012553678
QmVXXEXJJKjFJtwXyy4Xx3gBckhz6TvorZoLgX3yiB7Hki,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,closed,12518174,"['Yes', 'No']","[32283998.52448257, 17783893.460188795]",0.0
Qmehop1NNWP9VEf7tGLEAYRphVsXtdxkL7oKEhaXL2Xao6,0x88FB3D509fC49B515BFEb04e23f53ba339563981,closed,12510878,"['FOR Uniswap v3 on Arbitrum', 'AGAINST Uniswap v3 on Arbitrum']","[38647456.608673014, 306.10608628738817]",0.0
QmWe6Krc81pkCtQFbd2AxytFCp1imLGUnFTEEom9YNwFte,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,closed,12115392,"['Approve', 'Deny']","[7036339.680800256, 70.22498717711055]",400.0
QmU5sggJNTQmSQtxecdsAJxXn9fgSwYz1dXpSpDcgwAqqy,0x3b499Ac151097Dc9d32E056074E1e541a1ba9e2D,closed,11380788,"['Yes, fund an MVP grant committee', ""No, don't fund an MVP grants committee""]","[0, 0]",1800.0
QmcZGhUoTEGGQWMrEXBcCwCenjSQRTJdhta4JYyVEWnN24,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,closed,11316350,"['Yes, I support this proposal', ""No, I don't support this proposal"", 'Abstain']","[1448775.4706983564, 134079.54017291346, 0]",600.0
QmaKjvEAUL5RxoZeNQJKJZR8rHxiE6XNzzVrm1oLCr69MV,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,closed,11270515,"['Yes, I support this proposal', ""No, I don't support this proposal"", 'Abstain']","[16520750.737081423, 467760.2934994354, 452.1103379980043]",600.0
QmShiKX75iBo321NKLG9tFFb3EuNM58i8kvWaYLp1HBwCR,0xe1DC8CeA0BeC8A0638E4dD26D9092edab9F60f9B,closed,11249936,"['0', '1.25 million', '2.5 million', '3.75 million', '5 million', '6.25 million', '7.5 million', '8.75 million', '10 million', '11.25 million', '12.5 million', '13.75 million']","[1170.4651620049635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",610.0
QmZUeeJEoEp4Z1oLzMcXbWJyu4WNvHF9p8uHjz97T5nD3m,0xe1DC8CeA0BeC8A0638E4dD26D9092edab9F60f9B,closed,11145172,"['Yes', 'No']","[21964.98551154977, 0]",610.0
Qma8KF8jTV3kwBFdjfwE9jvLpPYVMdY6RVS9pJZ6QGEur6,0x00000583Cf2C6aA7488471fbe12ac7f0DfeB1cDa,closed,10911534,"['Yes', 'No']","[0, 33977.76998886946]",0.0
